Date,Value
2019-08-13,66.0676369993
2019-08-12,80.9888479954
2019-08-11,73.2757970594
2019-08-10,66.0566787285
2019-08-09,65.3523665789
2019-08-08,62.8462692219
2019-08-07,65.8068474888
2019-08-06,63.1067782084
2019-08-05,76.6382405544
2019-08-04,72.5873514029
2019-08-03,64.7035349742
2019-08-02,54.4208451984
2019-08-01,59.9883464893
2019-07-31,53.4797452401
2019-07-30,62.0451605645
2019-07-29,76.9097013161
2019-07-28,66.3434198319
2019-07-27,64.9097906247
2019-07-26,57.4308811583
2019-07-25,58.6820111799
2019-07-24,57.8716147694
2019-07-23,66.3459219432
2019-07-22,70.8051791693
2019-07-21,74.5069287647
2019-07-20,54.0467694962
2019-07-19,50.4623113425
2019-07-18,50.7894975697
2019-07-17,60.2185118835
2019-07-16,56.2523417514
2019-07-15,66.5472246742
2019-07-14,67.6741040903
2019-07-13,67.68427269
2019-07-12,60.4701923318
2019-07-11,68.1388206315
2019-07-10,69.1673055847
2019-07-09,71.5060014146
2019-07-08,70.7848479653
2019-07-07,74.6001189119
2019-07-06,71.6928640594
2019-07-05,69.0803671562
2019-07-04,64.3355567819
2019-07-03,57.9382290759
2019-07-02,60.8858357963
2019-07-01,70.0570831384
2019-06-30,76.3890180667
2019-06-29,63.7133801705
2019-06-28,64.6004942886
2019-06-27,71.5731340688
2019-06-26,60.9120469564
2019-06-25,65.4834928938
2019-06-24,66.5162485015
2019-06-23,57.1239955615
2019-06-22,51.9282169339
2019-06-21,54.2462032122
2019-06-20,52.9126999593
2019-06-19,50.0432326306
2019-06-18,51.3471327042
2019-06-17,52.4325655085
2019-06-16,50.1857814054
2019-06-15,51.3515561331
2019-06-14,44.7650651546
2019-06-13,42.7479218067
2019-06-12,44.0144173026
2019-06-11,45.5573724249
2019-06-10,49.066414412
2019-06-09,43.762327968
2019-06-08,47.086765491
2019-06-07,44.8360139983
2019-06-06,44.9772261026
2019-06-05,44.8260164967
2019-06-04,48.9059108008
2019-06-03,51.1652144495
2019-06-02,52.6973440587
2019-06-01,46.5837629575
2019-05-31,50.2153455036
2019-05-30,50.4708034583
2019-05-29,50.2221496823
2019-05-28,50.1813215355
2019-05-27,46.8643409346
2019-05-26,44.6669458289
2019-05-25,45.0224517543
2019-05-24,42.3005448955
2019-05-23,45.3394913915
2019-05-22,44.1811915147
2019-05-21,45.6289717192
2019-05-20,49.3830406152
2019-05-19,41.6583075333
2019-05-18,42.5780670651
2019-05-17,43.6602175431
2019-05-16,44.9364454437
2019-05-15,44.1289479882
2019-05-14,41.8466056142
2019-05-13,44.1098467139
2019-05-12,34.4330982675
2019-05-11,32.9153756539
2019-05-10,33.0991212923
2019-05-09,29.8455120704
2019-05-08,29.9656862831
2019-05-07,29.3305522052
2019-05-06,28.9994092129
2019-05-05,27.2976230261
2019-05-04,29.0384334193
2019-05-03,27.9708514511
2019-05-02,26.4969092012
2019-05-01,27.4944434435
2019-04-30,30.4857896839
2019-04-29,28.1032451808
2019-04-28,25.3811642949
2019-04-27,26.7137500644
2019-04-26,26.6223730837
2019-04-25,29.4683301933
2019-04-24,27.387129883
2019-04-23,27.0851421348
2019-04-22,28.2105046358
2019-04-21,28.3288870597
2019-04-20,28.889714219
2019-04-19,26.5427252371
2019-04-18,26.8286900927
2019-04-17,26.8514981306
2019-04-16,25.4394178276
2019-04-15,23.8134010861
2019-04-14,24.2805241494
2019-04-13,26.6287777161
2019-04-12,26.4973487431
2019-04-11,26.0587104104
2019-04-10,26.626657525
2019-04-09,27.8061463004
2019-04-08,26.9962286212
2019-04-07,25.4507192777
2019-04-06,27.0537186818
2019-04-05,26.9536111815
2019-04-04,26.7872173141
2019-04-03,24.0868412233
2019-04-02,19.6801517135
2019-04-01,19.0752296292
2019-03-31,19.3800402619
2019-03-30,20.812740684
2019-03-29,19.1179085842
2019-03-28,19.94203513
2019-03-27,18.2139988276
2019-03-26,23.2713177356
2019-03-25,33.1598210493
2019-03-24,28.8525931282
2019-03-23,27.179245461
2019-03-22,24.324238836
2019-03-21,27.2264625198
2019-03-20,28.6581486154
2019-03-19,28.1276016464
2019-03-18,32.1080968763
2019-03-17,31.6249813226
2019-03-16,25.8197478338
2019-03-15,25.3413260947
2019-03-14,23.2114415586
2019-03-13,24.700068317
2019-03-12,23.673156692
2019-03-11,31.4305885947
2019-03-10,29.3353434634
2019-03-09,25.217251656
2019-03-08,25.1708270194
2019-03-07,22.7949666833
2019-03-06,24.9002098299
2019-03-05,21.3595268859
2019-03-04,19.8388687552
2019-03-03,19.0050397326
2019-03-02,22.0944470656
2019-03-01,19.7540348132
2019-02-28,19.7408545584
2019-02-27,21.2106368166
2019-02-26,20.5385414604
2019-02-25,22.2045952421
2019-02-24,21.9055254948
2019-02-23,23.1122615138
2019-02-22,20.0591936439
2019-02-21,20.7918663062
2019-02-20,22.2496021108
2019-02-19,21.6543935109
2019-02-18,21.94154891
2019-02-17,20.6254326791
2019-02-16,19.4194818046
2019-02-15,18.0831532401
2019-02-14,19.7818916621
2019-02-13,21.5402799873
2019-02-12,20.9770955871
2019-02-11,21.3504215564
2019-02-10,22.0176278199
2019-02-09,21.2505080573
2019-02-08,20.8896914956
2019-02-07,19.9826244404
2019-02-06,17.9997707461
2019-02-05,19.0460366332
2019-02-04,19.8878114058
2019-02-03,19.5612192317
2019-02-02,20.2096869284
2019-02-01,19.01828624
2019-01-31,18.2760955527
2019-01-30,19.225989489
2019-01-29,20.5101792216
2019-01-28,22.7867437384
2019-01-27,23.6080325603
2019-01-26,20.8480330491
2019-01-25,23.8312340927
2019-01-24,22.4374361156
2019-01-23,19.7417340261
2019-01-22,21.3322978806
2019-01-21,24.3327919584
2019-01-20,21.9724600392
2019-01-19,20.7274156581
2019-01-18,19.6555970612
2019-01-17,19.9906497971
2019-01-16,20.2171908005
2019-01-15,20.768417535
2019-01-14,22.4398247968
2019-01-13,22.5660279283
2019-01-12,22.2253340928
2019-01-11,23.013152245
2019-01-10,26.2257655319
2019-01-09,27.0318157374
2019-01-08,25.3175399503
2019-01-07,26.9797741934
2019-01-06,29.9010293863
2019-01-05,25.5330065815
2019-01-04,25.9919785759
2019-01-03,27.1221819826
2019-01-02,29.953090335
2019-01-01,28.5209623589
2018-12-31,31.7059462441
2018-12-30,25.694769351
2018-12-29,25.5709571255
2018-12-28,27.3813441695
2018-12-27,26.9080874782
2018-12-26,28.861619332
2018-12-25,29.5100637884
2018-12-24,35.5855090681
2018-12-23,34.3476865009
2018-12-22,25.4880297465
2018-12-21,23.7791203716
2018-12-20,23.8692703976
2018-12-19,21.7948485833
2018-12-18,22.9432387388
2018-12-17,20.9799778007
2018-12-16,23.0766957591
2018-12-15,21.9915986789
2018-12-14,21.0631880541
2018-12-13,20.1606728117
2018-12-12,21.6047638139
2018-12-11,21.455502152
2018-12-10,23.9154615901
2018-12-09,23.891660612
2018-12-08,19.5331915583
2018-12-07,22.9669513563
2018-12-06,24.8394151036
2018-12-05,25.7536887311
2018-12-04,24.006522557
2018-12-03,27.1053522149
2018-12-02,26.9141572003
2018-12-01,21.3961471869
2018-11-30,23.508461696
2018-11-29,24.4111031101
2018-11-28,23.3997534295
2018-11-27,21.745022186
2018-11-26,25.8811469288
2018-11-25,31.2343654445
2018-11-24,25.0406626243
2018-11-23,26.7361970677
2018-11-22,24.2287036941
2018-11-21,27.8482720759
2018-11-20,31.9650458204
2018-11-19,36.3648984498
2018-11-18,38.8126423905
2018-11-17,31.8611471734
2018-11-16,31.3219503849
2018-11-15,36.1454141021
2018-11-14,34.6512902763
2018-11-13,37.7530018762
2018-11-12,47.4937429427
2018-11-11,41.9207833904
2018-11-10,36.3573517119
2018-11-09,35.831294365
2018-11-08,36.6267519164
2018-11-07,36.5604390172
2018-11-06,39.5123436009
2018-11-05,43.7996965648
2018-11-04,51.6646426684
2018-11-03,39.4084805935
2018-11-02,43.6957482294
2018-11-01,44.9637498185
2018-10-31,43.2861466532
2018-10-30,43.645308915
2018-10-29,51.8096672243
2018-10-28,47.3873289948
2018-10-27,46.1965202485
2018-10-26,44.019581613
2018-10-25,36.6138495355
2018-10-24,49.6491740842
2018-10-23,49.7381281937
2018-10-22,53.6555779832
2018-10-21,51.3198047758
2018-10-20,45.8178974181
2018-10-19,45.1705831282
2018-10-18,44.1804744954
2018-10-17,43.6460334934
2018-10-16,49.5064015107
2018-10-15,47.3434913194
2018-10-14,54.2063486528
2018-10-13,42.9542497648
2018-10-12,47.7555126153
2018-10-11,48.6477461218
2018-10-10,46.0889885592
2018-10-09,45.4763463852
2018-10-08,53.3702691884
2018-10-07,48.4040313951
2018-10-06,44.1896367261
2018-10-05,51.1176035341
2018-10-04,48.9710872274
2018-10-03,46.6039116335
2018-10-02,54.2006401727
2018-10-01,65.0075937767
2018-09-30,57.5758792532
2018-09-29,51.317781319
2018-09-28,47.5971766834
2018-09-27,46.610199308
2018-09-26,54.2479138451
2018-09-25,52.1129211855
2018-09-24,63.2952142631
2018-09-23,58.1920558986
2018-09-22,44.5954025854
2018-09-21,49.1692032857
2018-09-20,49.6467155669
2018-09-19,46.2469893746
2018-09-18,45.4410270427
2018-09-17,63.2083386434
2018-09-16,54.5313607811
2018-09-15,48.6510919782
2018-09-14,51.5085140123
2018-09-13,57.1154523694
2018-09-12,47.3282112355
2018-09-11,48.2508306049
2018-09-10,68.4132087669
2018-09-09,58.9755695532
2018-09-08,53.8371654543
2018-09-07,48.6150527945
2018-09-06,48.5357831136
2018-09-05,50.4441811508
2018-09-04,59.2844118783
2018-09-03,70.3435789425
2018-09-02,63.466904707
2018-09-01,57.8036522811
2018-08-31,58.3966512204
2018-08-30,52.3082231255
2018-08-29,57.5707029293
2018-08-28,70.4551901865
2018-08-27,84.6121348981
2018-08-26,58.4490836369
2018-08-25,54.8901402829
2018-08-24,55.7124580524
2018-08-23,57.7861905697
2018-08-22,55.105685151
2018-08-21,56.9899300059
2018-08-20,69.9912040867
2018-08-19,67.9778305261
2018-08-18,53.3259313414
2018-08-17,54.5730016618
2018-08-16,52.6115155833
2018-08-15,42.1880322754
2018-08-14,54.1207267805
2018-08-13,74.5767427639
2018-08-12,68.9111172276
2018-08-11,62.8034279307
2018-08-10,54.1849497493
2018-08-09,54.3650562371
2018-08-08,56.2819517451
2018-08-07,53.2590456155
2018-08-06,81.9601564862
2018-08-05,86.065189847
2018-08-04,68.955403575
2018-08-03,65.4160878861
2018-08-02,60.5781814636
2018-08-01,62.5771427914
2018-07-31,60.714697862
2018-07-30,104.223326127
2018-07-29,79.1485032384
2018-07-28,72.9416460135
2018-07-27,73.8409603558
2018-07-26,75.4892138216
2018-07-25,59.9496458981
2018-07-24,67.8700082086
2018-07-23,101.621533801
2018-07-22,68.6350793061
2018-07-21,64.8127961283
2018-07-20,70.5303277555
2018-07-19,68.0356508538
2018-07-18,57.3527848531
2018-07-17,46.6406240644
2018-07-16,65.2819817451
2018-07-15,59.0196428007
2018-07-14,53.5610903785
2018-07-13,55.9504317092
2018-07-12,54.0075287371
2018-07-11,58.4968538813
2018-07-10,55.9733319579
2018-07-09,84.566442321
2018-07-08,76.5419297048
2018-07-07,65.4925776702
2018-07-06,58.1165698185
2018-07-05,54.3181726943
2018-07-04,45.2242408773
2018-07-03,57.3095694633
2018-07-02,75.3937328953
2018-07-01,58.7356137641
2018-06-30,57.6098940634
2018-06-29,65.1275547028
2018-06-28,50.2892121261
2018-06-27,59.3495708265
2018-06-26,61.4467155483
2018-06-25,84.7123262615
2018-06-24,75.2707376549
2018-06-23,64.4438466231
2018-06-22,74.718256586
2018-06-21,71.3991391003
2018-06-20,70.9968791286
2018-06-19,70.7077774832
2018-06-18,88.5958718127
2018-06-17,85.5747686085
2018-06-16,60.4992153255
2018-06-15,61.4136329219
2018-06-14,54.4099760365
2018-06-13,55.8633542529
2018-06-12,57.2340338183
2018-06-11,60.4613268712
2018-06-10,79.7572184245
2018-06-09,69.607372338
2018-06-08,66.8506680349
2018-06-07,68.8710339111
2018-06-06,78.9122569423
2018-06-05,82.4720914858
2018-06-04,96.7088403249
2018-06-03,83.9569137366
2018-06-02,76.8390079188
2018-06-01,76.751896332
2018-05-31,79.5317598999
2018-05-30,64.3415898881
2018-05-29,74.6429825834
2018-05-28,105.576396687
2018-05-27,94.6871403678
2018-05-26,84.6447314741
2018-05-25,66.4798369816
2018-05-24,69.5946312038
2018-05-23,75.4511651184
2018-05-22,82.5032247284
2018-05-21,97.8547293712
2018-05-20,92.8485397439
2018-05-19,74.8102035649
2018-05-18,71.6891988489
2018-05-17,90.8181296432
2018-05-16,73.8221134468
2018-05-15,69.5332530962
2018-05-14,102.962622229
2018-05-13,97.442635439
2018-05-12,64.4646606696
2018-05-11,85.0085529224
2018-05-10,91.6292617172
2018-05-09,75.0709064157
2018-05-08,87.0887500616
2018-05-07,97.7687478294
2018-05-06,98.8865905109
2018-05-05,78.2100780377
2018-05-04,81.2787990295
2018-05-03,77.703242731
2018-05-02,91.0766817976
2018-05-01,84.9829157575
2018-04-30,103.766879523
2018-04-29,75.1816958847
2018-04-28,78.1292382991
2018-04-27,78.1780567944
2018-04-26,68.7564029121
2018-04-25,77.0813970723
2018-04-24,76.6337865923
2018-04-23,103.969524991
2018-04-22,91.5298184608
2018-04-21,74.2007646182
2018-04-20,87.0864728928
2018-04-19,82.3781734818
2018-04-18,80.2427034449
2018-04-17,73.3489822276
2018-04-16,98.8157093679
2018-04-15,86.2160724992
2018-04-14,76.2667099755
2018-04-13,72.9676352851
2018-04-12,76.9269443208
2018-04-11,75.4797508914
2018-04-10,70.5705032533
2018-04-09,103.010261217
2018-04-08,102.014968837
2018-04-07,67.2091819025
2018-04-06,74.127166694
2018-04-05,68.068372605
2018-04-04,76.8402231346
2018-04-03,82.4746311538
2018-04-02,102.733470467
2018-04-01,75.6036935747
2018-03-31,75.9086413754
2018-03-30,71.8380281207
2018-03-29,76.7510805161
2018-03-28,81.1559983939
2018-03-27,83.0003434722
2018-03-26,108.786823393
2018-03-25,108.730667203
2018-03-24,81.5821841555
2018-03-23,85.1844061886
2018-03-22,88.6768927038
2018-03-21,74.5449184568
2018-03-20,86.4481560258
2018-03-19,95.0757706093
2018-03-18,97.4795869727
2018-03-17,90.3161607681
2018-03-16,74.4517707402
2018-03-15,78.3842962335
2018-03-14,95.0137948436
2018-03-13,99.726117028
2018-03-12,126.291215723
2018-03-11,100.22360393
2018-03-10,85.2995126577
2018-03-09,98.9192550905
2018-03-08,94.4451240732
2018-03-07,103.822317688
2018-03-06,109.776003803
2018-03-05,134.358251308
2018-03-04,146.396238591
2018-03-03,112.897918813
2018-03-02,99.5959308619
2018-03-01,108.994016046
2018-02-28,100.498286245
2018-02-27,100.375489341
2018-02-26,145.844182848
2018-02-25,119.776833549
2018-02-24,105.57302443
2018-02-23,102.982789351
2018-02-22,110.521017953
2018-02-21,104.157082139
2018-02-20,123.102480023
2018-02-19,136.28922928
2018-02-18,119.228204567
2018-02-17,109.005817627
2018-02-16,85.6628785111
2018-02-15,109.36631766
2018-02-14,99.5442238683
2018-02-13,101.11420282
2018-02-12,110.491753345
2018-02-11,85.8746321773
2018-02-10,85.2238778484
2018-02-09,82.0532315801
2018-02-08,71.4802720054
2018-02-07,72.073118594
2018-02-06,78.5861151388
2018-02-05,112.999677444
2018-02-04,98.8247574754
2018-02-03,89.5919015497
2018-02-02,78.0496466236
2018-02-01,80.5291483331
2018-01-31,96.7492488422
2018-01-30,96.3823516548
2018-01-29,117.430262326
2018-01-28,126.855696285
2018-01-27,106.814229776
2018-01-26,104.088588057
2018-01-25,111.88855306
2018-01-24,103.113799179
2018-01-23,103.148287885
2018-01-22,143.046333665
2018-01-21,142.872217954
2018-01-20,119.747628347
2018-01-19,103.353070594
2018-01-18,97.2592164117
2018-01-17,95.4883380134
2018-01-16,122.14154345
2018-01-15,143.14838012
2018-01-14,130.46256497
2018-01-13,131.790878011
2018-01-12,122.358755399
2018-01-11,121.715780176
2018-01-10,114.458777239
2018-01-09,122.310547621
2018-01-08,122.61171089
2018-01-07,134.871173939
2018-01-06,124.724362108
2018-01-05,102.933855744
2018-01-04,103.108718763
2018-01-03,122.635624411
2018-01-02,138.227163984
2018-01-01,125.970638362
2017-12-31,100.383793998
2017-12-30,117.853617301
2017-12-29,124.84578683
2017-12-28,138.58297579
2017-12-27,161.686070685
2017-12-26,146.595142312
2017-12-25,138.787679677
2017-12-24,139.698417703
2017-12-23,137.022384454
2017-12-22,132.919815946
2017-12-21,113.03450863
2017-12-20,113.021630769
2017-12-19,137.660691061
2017-12-18,140.175358475
2017-12-17,143.019791462
2017-12-16,118.509879312
2017-12-15,100.52356502
2017-12-14,115.965966143
2017-12-13,115.242228079
2017-12-12,119.19715208
2017-12-11,109.234849556
2017-12-10,102.932804102
2017-12-09,107.720093472
2017-12-08,99.6769288126
2017-12-07,79.5867241545
2017-12-06,71.5758474159
2017-12-05,71.9521984489
2017-12-04,76.6365703542
2017-12-03,74.7285593446
2017-12-02,66.8086835324
2017-12-01,62.2520954032
2017-11-30,60.8856418439
2017-11-29,59.6978909293
2017-11-28,60.5126450816
2017-11-27,59.2436180881
2017-11-26,55.4902574297
2017-11-25,56.5664763328
2017-11-24,51.5585426977
2017-11-23,56.1419268246
2017-11-22,53.7071652192
2017-11-21,61.7939091402
2017-11-20,67.949445681
2017-11-19,57.428984045
2017-11-18,63.2024895497
2017-11-17,60.4927492189
2017-11-16,56.8051093932
2017-11-15,54.0378148945
2017-11-14,53.651180449
2017-11-13,48.6776885044
2017-11-12,43.0564207214
2017-11-11,45.0021982947
2017-11-10,47.6913715636
2017-11-09,51.833129884
2017-11-08,47.4193365384
2017-11-07,49.068809738
2017-11-06,57.443343602
2017-11-05,48.0017223703
2017-11-04,45.6154608472
2017-11-03,44.555529863
2017-11-02,43.6010061531
2017-11-01,45.0462384159
2017-10-31,40.5882022845
2017-10-30,40.6128197665
2017-10-29,34.5246617621
2017-10-28,34.3194964635
2017-10-27,52.3777740046
2017-10-26,44.1194898659
2017-10-25,36.2693045501
2017-10-24,43.186189261
2017-10-23,50.2925125854
2017-10-22,40.1079314594
2017-10-21,45.9255307159
2017-10-20,38.771649651
2017-10-19,34.9973671027
2017-10-18,37.8532245284
2017-10-17,42.9788898872
2017-10-16,51.8009869733
2017-10-15,38.96442653
2017-10-14,35.5848902756
2017-10-13,37.9074255902
2017-10-12,31.0743511493
2017-10-11,34.1946598396
2017-10-10,34.7847981065
2017-10-09,46.0796937288
2017-10-08,39.4270133655
2017-10-07,32.7264941289
2017-10-06,27.3572101674
2017-10-05,32.878150536
2017-10-04,37.1309028208
2017-10-03,30.5663085501
2017-10-02,37.3445721083
2017-10-01,37.2313846705
2017-09-30,36.7184953428
2017-09-29,35.7345020346
2017-09-28,32.2733116997
2017-09-27,27.8104180967
2017-09-26,29.749202245
2017-09-25,37.8979248613
2017-09-24,40.2847673161
2017-09-23,29.639284058
2017-09-22,33.4896302218
2017-09-21,27.148504161
2017-09-20,29.6010503572
